,ticker,growth,price,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,profitMargins,forwardEps,bookValue,trailingEps,priceToBook,pegRatio,trailingPE,earningsQuarterlyGrowth
0,AQUA,0.1961651917404128,24.265,,0.0,,,1.9556437,37.43077,,,0.05763,0.65,3.799,0.708,6.404317,1.97,34.364407,4.171
0,ARC,-0.07207207207207211,1.0350000000000001,0.01904762,0.2,0.02,0.04,0.13314618,5.722222,,0.0388,0.01192,0.18,3.264,0.092,0.3155637,,11.195652,1.788
0,ARD,-0.06028131279303417,16.25,0.040873855,,0.58,0.6,0.50728637,8.936305,,0.0429,0.2134,1.57,-1.557,5.901,,-4.19,2.377563,
0,ARE,-0.038819967946815415,162.075,0.025389781,1.2447,4.12,4.24,12.07232,58.45848,2.84,0.026099999,0.23862,2.77,75.719,3.341,2.1385648,557.6,48.46752,1.916
0,ARES,0.13198359815479233,44.17,0.03283174,2.5714002,1.44,1.6,4.162703,20.544184,4.84,0.0365,0.06392,2.15,4.775,0.559,9.250261,1.89,79.0161,0.754
0,ARI,0.06689734717416385,9.23,0.18112797,20.875,1.67,1.4,17.498741,7.644628,11.4,0.1518,0.42727003,1.21,15.947,0.105,0.5800464,110.71,88.09524,-0.02
0,ARNC,0.05901189387008232,22.785,0.0053380784,0,0.12,,0.4000867,11.34804,,,0.02329,2.04,10.507,1.348,2.203293,0.8,17.17359,
0,ARW,0.07109245834923072,84.2,,0,,,0.23856623,10.7286625,,,0.014099999,7.85,60.486,4.769,1.3923883,26.12,17.659887,
0,ASB,0.008823529411764675,13.899999999999999,0.053143714,0.33490002,0.71,0.72,1.6911976,13.320389,2.77,0.0539,0.28072,1.03,24.298,2.114,0.56465554,1.37,6.490066,0.757
0,ASC,-0.09014084507042253,3.235,0.01577287,0.1,0.05,,0.4371991,8.282052,,,0.06644,0.39,10.376,0.493,0.3112953,0.2,6.551724,
0,ASGN,0.003650147409799187,71.55,,0,,,0.9489343,15.018907,,,0.047859997,4.76,27.754,3.558,2.5758448,1.6,20.092747,0.132
0,ASIX,0.0532069970845479,14.05,,0,,,0.3452955,6.3656387,,,0.02202,2.27,15.012,0.908,0.9625633,1.14,15.914097,-0.255
0,ASR,0.02126504388743089,113.38,0.003009116,0,0.34,,,18.35122,,,0.26997,6.15,45.84,9.69,2.4620419,-297.4,11.647059,
0,ASX,0.07341772151898729,4.26,0.06793349,0.4693,0.286,0.14,,10.599999,3.98,0.0324,0.05235,0.4,3.052,0.31,1.3892529,0.37,13.677419,1.579
0,ATEN,-0.0523627075351214,7.305,,0,,,2.6353607,14.84,,,0.01702,0.5,1.43,0.044,5.1888113,0.76,168.63637,
0,ATH,0.006197183098591408,35.629999999999995,,0,,,0.6491389,4.4987407,,,0.05052,7.94,75.713,2.385,0.47178164,0.8,14.97694,0.171
0,ATHM,0.16613037778572282,97.975,,0.20639999,,0.77,,19.376236,,0.0077,0.37840998,5.05,12.96,3.298,7.550154,81.51,29.669495,0.028
0,ATKR,-0.0981343283582089,24.175,,0,,,0.63824505,6.9057145,,,0.08049,3.5,6.872,2.918,3.5171711,5.36,8.283071,-0.341
0,ATO,-0.03659904169640127,94.69999999999999,0.023674242,0.46490002,2.25,2.3,4.178294,18.824701,2.14,0.0242,0.21309,5.02,52.383,4.872,1.8040204,2.84,19.396551,0.464
0,ATR,-0.023747587480070442,116.42500000000001,0.012366884,0.4721,1.44,1.44,2.6851494,29.378786,1.41,0.0124,0.07245,3.96,25.593,3.052,4.545774,7.05,38.119263,-0.434
0,ATUS,0.05292376017764622,28.784999999999997,,0,,,1.6765887,21.717558,,,0.01911,1.31,1.981,0.299,14.361434,0.41,95.150505,0.288
0,AUY,-0.014705882352941124,6.015,0.0077795787,0.1719,0.048,0.1,4.1002107,31.736843,0.98,0.017,0.18616,0.19,4.428,0.274,1.3617886,0.62,22.007301,-1
0,AVA,-0.07383454594448946,34.45,0.046156086,0.8757,1.585,1.62,1.7721822,16.524038,3.33,0.047199998,0.09243,2.08,29.082,1.818,1.1818306,3.14,18.90539,-0.311
0,AVAL,-0.1002671695741002,4.5600000000000005,0.0035794186,0.5565,0.016,0.31,,7.6333327,5.9,0.0695,0.14741,0.6,5.16,0.76,0.8875969,,6.0263157,-0.602
0,AVD,-0.017217630853994526,14.27,0.004140787,0.16219999,0.06,,0.94458,23.783333,,,0.02412,0.6,11.259,0.37,1.2674305,-30.83,38.56757,0.251
