,ticker,growth,price,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,profitMargins,forwardEps,bookValue,trailingEps,priceToBook,pegRatio,trailingPE,earningsQuarterlyGrowth
0,ARNC,0.07968313140726946,23.235,0.0051835855,0,0.12,,0.40043238,11.357843,,,0.02329,2.04,10.507,1.348,2.2051966,0.8,17.188427,
0,ARW,0.07992302758178327,84.97999999999999,,0,,,0.23845293,10.723567,,,0.014099999,7.85,60.486,4.769,1.391727,26.12,17.651499,
0,ASB,-0.02145922746781126,13.455,0.05174927,0.33490002,0.71,0.72,1.686267,13.281554,2.77,0.0525,0.28072,1.03,24.298,2.114,0.5630093,1.37,6.4711447,0.757
0,ASC,-0.0911680911680911,3.175,0.015479877,0.1,0.05,,0.43178487,8.179487,,,0.06644,0.39,10.376,0.493,0.30744025,0.2,6.470588,
0,ASGN,0.015127951364343195,71.91499999999999,,0,,,0.9530492,15.084034,,,0.047859997,4.76,27.754,3.558,2.5870147,1.6,20.179876,0.132
0,ASIX,0.06204906204906213,14.735,,0,,,0.3517474,6.4845815,,,0.02202,2.27,15.012,0.908,0.9805489,1.14,16.211454,-0.255
0,ASR,0.008088888888888812,112.86,0.003012582,0,0.34,,,18.44065,,,0.26997,6.15,45.84,9.69,2.4740403,-297.4,11.703819,
0,ASX,0.06801007556675054,4.27,0.06745284,0.4693,0.286,0.14,,10.599999,3.98,0.0324,0.05235,0.4,3.052,0.31,1.3892529,0.37,13.677419,1.579
0,ATEN,-0.0013623978201634523,7.445,,0,,,2.6033957,14.66,,,0.01702,0.5,1.43,0.044,5.125874,0.76,166.59091,
0,ATH,-0.05363368195226603,35.15,,0,,,0.6413245,4.4445844,,,0.05052,7.94,75.713,2.385,0.46610227,0.8,14.796646,0.171
0,ATHM,0.16765768916870716,99.78999999999999,,0.20639999,,0.77,,19.871033,,0.0077,0.37840998,5.04,12.96,3.298,7.7276235,81.7,30.366888,0.028
0,ATKR,-0.10794602698650668,23.795,,0,,,0.62847465,6.7999997,,,0.08049,3.5,6.872,2.918,3.4633293,5.36,8.156271,-0.341
0,ATO,-0.028080641843242216,94.72,0.023809524,0.46490002,2.25,2.3,4.177852,18.822708,2.14,0.024300002,0.21309,5.02,52.383,4.872,1.8038294,2.84,19.394499,0.464
0,ATR,-0.01996293800539084,116.445,0.012377515,0.4721,1.44,1.44,2.6853802,29.381313,1.41,0.0124,0.07245,3.96,25.593,3.052,4.546165,7.05,38.122543,-0.434
0,ATUS,0.07429643527204499,27.950000000000003,,0,,,1.6871963,21.854961,,,0.01911,1.31,1.981,0.299,14.452297,0.41,95.75251,0.288
0,AUY,-0.011666666666666714,5.9350000000000005,0.007960198,0.1719,0.048,0.1,4.0414505,31.210526,0.98,0.0174,0.18616,0.19,4.428,0.274,1.339205,0.62,21.642336,-1
0,AVA,-0.08328840970350415,34.035,0.0461158,0.8757,1.585,1.62,1.75362,16.350962,3.33,0.0471,0.09243,2.08,29.082,1.818,1.1694518,3.14,18.70737,-0.311
0,AVAL,-0.08508872465715533,4.61,0.00349345,0.5565,0.016,0.31,,7.7166667,5.9,0.0678,0.14741,0.6,5.16,0.76,0.8972869,,6.0921054,-0.602
0,AVD,0.011748445058742174,16.04,0.004204625,0.16219999,0.06,,0.9690716,24.4,,,0.02412,0.6,11.259,0.37,1.3002932,-30.83,39.56757,0.251
0,AVTR,0.15322960867515323,24.595,,0,,,2.3407636,24.217821,,,0.03317,1.01,2.667,0.232,9.171353,1.39,105.43103,
0,AVY,0.12546187437017142,133.85,0.01746199,0.3766,2.32,2.32,1.648384,20.062876,1.93,0.0175,0.07678,6.68,14.547,6.141,9.212896,2.72,21.823809,-0.444
0,AWK,0.08765802891667263,155.72,0.013152829,0.5824,2.05,2.2,7.646908,36.81324,1.83,0.014099999,0.1729,4.23,34.978,3.52,4.451941,4.89,44.238636,0.035
0,AWR,0.008182880893622624,77.66,0.015780624,0.5351,1.22,1.34,5.9913454,31.942387,1.79,0.0173,0.1766,2.43,16.79,2.277,4.6229897,6.29,34.088715,-0.044
0,AX,0.0622240064231232,26.1,,0,,,2.9341564,9.763837,,,0.34070998,2.71,20.562,2.98,1.2868397,1.03,8.879194,0.115
0,AXP,-0.003040957901739083,104.78999999999999,0.016470363,0.3561,1.72,1.72,2.4655414,15.360176,1.53,0.0164,0.11886,6.83,26.164,4.862,4.0097084,3.2,21.577541,-0.854
0,AXTA,0.11140008669267454,25.479999999999997,,0,,,1.5708637,16.33121,,,0.01994,1.57,5.153,0.327,4.9757423,12.7,78.40978,
0,AYI,-0.12875496811165532,94.96000000000001,0.005452448,0.0829,0.52,0.52,1.1232365,10.650847,0.35,0.0054,0.074650005,8.85,54.135,6.27,1.7412026,-17.44,15.033493,-0.233
0,AZN,-0.010265024262784528,53.175,0.05328259,1.7073,2.8,1.4,5.4414816,20.877953,3.86,0.026600001,0.083579995,2.54,4.6635,0.8185,11.371287,1.43,64.789246,4.815
0,AZO,-0.011112123898938342,1196.585,,0,,,2.2084012,14.314261,,,0.13719,83.37,-37.559,71.93,,2.83,16.590853,0.31
0,AZZ,-0.013009049773755721,34.995000000000005,0.019456366,1.1930001,0.68,0.68,0.95478064,12.2887335,1.43,0.0195,0.01589,2.84,24.219,0.578,1.4410175,1.8,60.380623,
0,B,0.06916733173716394,40.290000000000006,0.016133098,0.2807,0.64,0.64,1.5514553,20.932291,1.17,0.0161,0.08941,1.92,24.927,2.283,1.6123079,2.4,17.604029,-0.985
0,BABA,0.09211414762429371,307.46000000000004,,0,,,,25.999155,,,0.31997,11.82,24.798,9.31,12.392531,62.44,33.00859,1.216
0,BAC,-0.08666164280331579,24.205,0.029813666,0.35639998,0.72,0.72,2.8566117,11.598086,1.73,0.0298,0.2642,2.09,28.335,2.03,0.8554791,11.18,11.9408865,-0.155
0,BAF,0.023338048090523422,14.465,0.04464409,0.33810002,0.646,0.74,13.778677,,5.33,0.051,1.7932,,15.986,1.883,0.90489805,,7.6822624,1.55
0,BAH,-0.032125205930807255,82.295,0.013655207,0.32,1.12,1.24,1.4923027,19.867151,1.61,0.0150999995,0.06511,4.14,6.386,3.503,12.879737,1.88,23.479874,0.102
0,BAP,-0.09328499131354318,128.0,0.02016403,1.4678999,2.434,8.8,,10.295026,2.51,0.0729,0.18115999,11.66,62.015,11.505,1.9356607,114.67,10.433724,
0,BAX,-0.005832320777642841,81.89,0.0112338625,0.50560004,0.905,0.98,3.6301405,22.294277,1.28,0.012200001,0.080979995,3.67,15.932,1.788,5.1355762,2.62,45.760628,-0.214
0,BBDO,-0.1591088077636359,3.2800000000000002,0.095100865,0.35169998,0.33,0.15,,,2.06,0.0432,0.27454,,4.549,0.7,0.72763246,,4.7285714,-0.42
0,BBF,0.020296643247462942,12.92,0.047256097,0.9944,0.62,0.61,13.880551,,5.68,0.0462,0.65734,,14.139,0.619,0.9243935,,21.1147,
0,BBK,0.026472534745201948,15.32,0.042193547,0.2838,0.654,0.78,13.99577,,5.18,0.050300002,2.0773802,,17.225,2.302,0.9004354,,6.7376194,2.271
0,BBY,0.12849848714069578,119.18,0.017833445,0.3415,2.15,2.2,0.71126354,16.809858,2.52,0.0186,0.03751,7.1,14.643,6.184,8.150652,2.25,19.299807,0.815
0,BCC,-0.04460260972716479,40.675,0.009307875,0.1757,0.39,0.4,0.32990634,13.513423,,0.0095,0.01831,2.98,18.872,2.22,2.1338491,1.13,18.139639,0.212
0,BCEI,0.07220779220779217,20.695,,0,,,1.7102042,6.7012987,,,0.28908002,3.08,46.962,3.5,0.43950424,0.44,5.897143,
0,BCH,-0.11274221961244868,14.555,0.00033156498,0.64910007,0.005,0.83,,10.792857,4.01,0.0554,0.34383,1.4,10.0,1.8,1.5109999,3,8.394444,-0.419
0,BCO,-0.03454194378888653,44.849999999999994,0.013198417,1.8182001,0.6,0.6,0.63806665,10.344828,0.93,0.013200001,0.00491,4.35,2.204,0.332,20.417423,1.39,135.54218,0.032
0,BCS,-0.073943661971831,5.25,0.011368016,0.4593,0.059,,,4.738739,,,0.11045,1.11,19.564,0.112,0.2688612,,46.964287,-0.757
0,BDX,0.015860088302113384,235.925,0.013361135,1.1094999,3.14,3.16,4.0607705,18.898726,1.37,0.0135,0.05367,12.54,82.865,2.835,2.8599532,3.67,83.59436,-0.366
0,BEDU,-0.0015267175572518665,6.555,,0.3224,,0.12,,11.678572,,0.0186,0.07674,0.56,3.394,0.307,1.9269298,6.62,21.30293,-0.438
0,BEN,0.11750713606089436,23.605,0.04530059,0.39020002,1.07,1.08,2.1576068,8.213287,2.8,0.045700002,0.19037001,2.86,20.417,2.052,1.1505119,-1.64,11.447368,0.181
0,BERY,-0.05014137606032043,50.41,,0,,,0.5701121,9.899803,,,0.0506,5.09,14.084,4.392,3.5778189,0.67,11.473132,13.692
0,BFAM,0.1616028181417879,158.79000000000002,,0,,,5.218342,50.088604,,,0.06555,3.16,19.921,2.016,7.9453845,36.61,78.5119,-0.993
0,BFO,0.0,14.68,0.009171196,0.3176,0.135,0.03,33.818287,,2.16,0.002,0.8307,,14.819,0.362,0.9939942,,40.69061,0.749
0,BFS,-0.047636232407073265,26.405,0.07895716,1.5703999,2.12,2.12,2.7357295,8.12,3.96,0.079,0.20838,3.25,8.016,1.351,3.2921658,,19.533678,-0.371
